CCD,NE_2019,NE_2020,NE_2021,NE_2022,ED_NA_2019,ED_NA_2020,ED_NA_2021,ED_NA_2022,area_m2,NE_area_2022,car,NA_area_2022,CN,NE_area_2021,NA_area_2021,,NE,NE_area
Ansan City,66438,71620,76366,81511,332,317,377,382,156409741,0.000521137619,0.5,2.44E-06,g,0.000488243248,2.41E-06,,116950,0.000747715579
Anseong City,30729,32844,34629,36284,121,137,154,163,553465427,6.55578E-5,0.6,2.95E-07,g,6.26E-05,2.78E-07,,77414,0.000139871429
Anyang City,71643,75581,79282,84390,189,184,154,164,58484033,0.00144295794,0.4,2.80E-06,g,0.00135561787,2.63E-06,,136523,0.00233436364
Bucheon City,104089,111952,118668,125752,423,379,482,538,53453521,0.00235254849,0.4,1.01E-05,g,0.00222002214,9.02E-06,,41959,0.000784962323
Dongducheon City,18344,19397,19926,20464,71,58,67,65,95667273,0.000213908052,0.4,6.79E-07,g,0.000208284394,7.00E-07,,37861,0.000395757074
Gapyeong-gun,15423,16324,17035,17841,78,60,86,91,843581890,2.11491E-5,0.5,1.08E-07,g,2.02E-05,1.02E-07,,134023,0.000158873728
Gimpo City,52278,58124,62780,66858,209,212,222,313,276601533,0.000241712326,0.5,1.13E-06,g,0.000226969096,8.03E-07,,72654,0.000262666657
Goyang City,135272,145710,154134,163080,469,451,465,568,268112180,0.000608252859,0.4,2.12E-06,g,0.000574886229,1.73E-06,,27280,0.000101748455
Gunpo City,33726,36416,38296,40752,71,93,78,92,36416593,0.00111905032,0.4,2.53E-06,g,0.00105160853,2.14E-06,,151460,0.00415909308
Guri City,25159,26962,27820,29173,101,100,104,115,33332883,0.000875201824,0.4,3.45E-06,g,0.000834611276,3.12E-06,,23743,0.000712299623
Gwacheon City,8084,8994,10358,11140,32,20,24,38,35870116,0.000310564928,0.4,1.06E-06,g,0.000288764051,6.69E-07,,75731,0.00211125607
Gwangju City,46344,51079,55328,59448,208,241,343,369,430988594,0.000137934045,0.5,8.56E-07,g,0.000128374627,7.96E-07,,40109,9.31E-05
Gwangmyeong City,41397,41683,43045,45128,136,138,126,176,38529060,0.00117127176,0.4,4.57E-06,g,0.00111720867,3.27E-06,,23250,0.000603440624
Hanam City,33597,37573,41540,44618,140,133,193,193,92987874,0.000479826004,0.4,2.08E-06,g,0.000886889833,2.08E-06,,50229,0.000540167205
Hwaseong City,69434,76180,82470,89334,299,313,293,382,699411819,0.000127727324,0.5,5.46E-07,g,4.72E-05,4.19E-07,,9394,1.34E-05
Icheon City,29245,31134,33034,34750,123,160,156,177,461470646,7.53027E-5,0.6,3.84E-07,g,0.000234651978,3.38E-07,,148924,0.000322716085
Namyangju City,93007,100537,108285,115165,307,299,292,348,458144217,0.000251372812,0.4,7.60E-07,g,1.26E-05,6.37E-07,,106403,0.00023224783
Ongjin-gun,5125,5485,5765,6100,6,10,8,6,172943948,3.52715E-5,0.6,3.47E-08,g,0.000136396794,4.63E-08,,60167,0.000347898846
Osan City,20257,22060,23589,25237,97,112,100,128,42706072,0.000590946412,0.5,3.00E-06,g,0.00161766224,2.34E-06,,20103,0.000470729315
Paju City,60663,64915,69084,73543,211,210,248,272,673880299,0.000109133625,0.5,4.04E-07,g,4.61E-05,3.68E-07,,66813,9.91E-05
Pocheon City,27615,29314,31080,32863,153,158,158,179,826986438,3.97383E-5,0.7,2.16E-07,g,8.48E-05,1.91E-07,,39941,4.83E-05
Pyeongtaek City,61910,66486,70123,73372,358,355,337,380,458255095,0.000160111695,0.6,8.29E-07,g,0.000301340894,7.35E-07,,53656,0.000117087623
Seongnam City,125807,133221,138091,144800,498,417,440,566,141625381,0.00102241561,0.4,4.00E-06,g,0.00035950477,3.11E-06,,79237,0.000559483049
Siheung City,41403,46782,50915,54756,221,226,215,291,139683555,0.000392000332,0.5,2.08E-06,g,0.000995643331,1.54E-06,,67162,0.000480815369
Suwon City,123647,131936,139075,147122,498,470,569,561,121089714,0.00121498346,0.5,4.63E-06,g,0.000607194431,4.70E-06,,32094,0.000265043156
Uijeongbu City,65272,70369,73525,77555,187,194,205,268,81547880,0.000951036373,0.4,3.29E-06,g,0.000289940094,2.51E-06,,34112,0.000418306399
Uiwang City,20823,22280,23644,24954,55,43,61,44,54034758,0.000461813857,0.4,8.14E-07,g,0.000722423889,1.13E-06,,25070,0.000463960623
Yangju City,33412,36245,39036,41886,169,142,148,198,310469903,0.000134911628,0.5,6.38E-07,g,0.000104277418,4.77E-07,,29836,9.61E-05
Yangpyeong-gun,28448,30536,32375,34217,129,126,136,137,877789698,3.89809E-5,0.5,1.56E-07,g,2.95E-05,1.55E-07,,30707,3.50E-05
Yeoju City,23068,24475,25854,27269,102,92,91,129,608284421,4.48294E-5,0.6,2.12E-07,g,1.94E-05,1.50E-07,,5298,8.71E-06
Yeoncheon-gun,10990,11490,11814,12319,47,45,51,63,676215175,1.82176E-5,0.7,9.32E-08,g,0.000222211813,7.54E-08,,15807,2.34E-05
Yongin City,133817,143096,150263,157226,411,372,508,548,591235780,0.000265927749,0.5,9.27E-07,g,6.52E-05,8.59E-07,,11271,1.91E-05
